,Media,Desvio,Melhor Fitness
1,1323.6870588235295,432.02412303691233,1735
2,1401.2071764705884,367.0502636073733,1725.2941176470588
3,1319.1035294117648,432.7176792509548,1726.3529411764705
4,1371.1577647058825,402.7127622716429,1717.7117647058822
5,1405.4851764705884,304.87321652899186,1735
6,1299.747411764706,410.192774782312,1726.3529411764705
7,1462.2232941176471,414.0318400723744,1725.2941176470588
8,1313.1952941176469,412.05836179509754,1735
9,1215.906588235294,478.0750089843838,1717.6823529411765
10,1278.8290588235295,421.9271666947166,1717.6823529411765
