,Media,Desvio,Melhor Fitness
1,11253357.703707697,1569753.838671875,13128651.648931792
2,11248090.815904805,1848362.559106604,13157294.48847409
3,11268233.25194042,1602278.2462572649,13199523.653908854
4,11250430.296588032,1709049.1558219907,13014000.529468723
5,11216746.890529657,1782326.2576328164,13185573.50043534
6,11201189.879100993,2018815.5941484182,13284199
7,11363876.457338884,1577674.92181469,13315080.970670717
8,11462011.987304123,1659569.6926001038,13222377.49173977
9,11173955.633550415,1783928.5709695015,13196044.448039873
10,11205043.579016887,1887508.9901749385,13190262
