,Media,Desvio,Melhor Fitness
1,11303486.314294523,1646533.2013800933,13322715.37520588
2,11331788.064344848,1653366.9197872302,13193721
3,11764059.129646806,1442882.6834405945,13152463.259154646
4,11483302.62166179,1686767.1996812813,13274571.481926337
5,11295590.578499846,1472185.9927117038,13342685.576830134
6,11284373.19424407,1546094.7834781546,13248879.094359621
7,11279278.890972657,1865846.177324205,13155896.39529245
8,11424545.158483956,1564335.6974770438,13156837.87532065
9,11278295.09328085,1604529.8436362806,13379114.69875394
10,11483691.497575808,1691636.4860055442,13132297.37396747
