,Media,Desvio,Melhor Fitness
1,11215885.739957044,1692921.318634887,13111402.462931398
2,11054644.91777477,1785994.1880052555,13019564.35421662
3,11094333.708244156,1960020.7796118667,12812646.33305997
4,11252767.3883854,1536157.8835464134,13061756
5,11423652.902381634,1448464.3549094577,13082911.414898083
6,11734330.424417732,1276222.1816559616,13072695.062630344
7,11391207.040933982,1724094.8307180863,13208322
8,11549649.590590023,1496042.1846176044,13090771.011497177
9,11742357.024274185,1211776.004937123,13232621.677732045
10,11487427.269316003,1845923.5128993555,13234607.007118475
