,Media,Desvio,Melhor Fitness
1,11256726.971028961,1597004.300061413,13148707.00742765
2,11497802.051002918,1569513.836462992,13334653.622651769
3,11336961.990766384,1472150.3132317632,13172510.781755198
4,11573313.825166052,1493097.7817218327,13218513.195077278
5,11373520.916654406,1652435.4290878193,13241617.555427704
6,11385294.146000938,1606918.4646307908,13145639
7,11492317.121165903,1687157.8343416203,13126252.04828846
8,11510921.276777072,1526130.2921356726,13323528.373946548
9,11292569.393007347,1678397.5255422762,13148452.454083113
10,11595472.198928636,1476847.2946542373,13214839.340427345
