,Media,Desvio,Melhor Fitness
1,11573225.71290305,1547697.418675952,13236299.214624822
2,11462992.980211167,1562774.644929946,13009832.230884047
3,11884799.858146055,1074293.859761607,13353269.372778248
4,11307543.87966871,1883159.5812775055,13069963.999960339
5,11627402.32342141,1271027.7094669486,13052772.855022814
6,11533695.480024353,1506759.0261083334,13110643.06557389
7,11763769.136875622,1616242.079074541,13239796.682416797
8,11438008.007502425,1596686.182027642,13211006.689996846
9,11701335.631518975,1667140.967235736,13296128.361420821
10,11087135.790162446,1771108.754341309,13057594.854784999
