,Media,Desvio,Melhor Fitness
1,10999294.013197059,1758280.9160574046,13094378
2,11285686.296199083,1761304.9727180277,13188488.429375812
3,11650424.519118302,1600565.7875325312,13269987.732530942
4,11175259.905307526,1793094.0169466732,13236201.20526656
5,11577648.582208065,1613314.9575632515,13200248
6,11469948.796366464,1723826.580945544,13288591.571421009
7,11718074.52502416,1518848.6964128376,13211620.04033553
8,11404580.776288511,1554894.5465561629,13287632.53574759
9,11431429.50572058,1539316.4135771806,13175247.113166088
10,11277917.749298913,1584145.2282038094,13115289.387197113
