Quantidade Cidades,Resultado,Iterations,Evaporation
22,789,50,0.05
22,789,50,0.1
22,801,50,0.5
22,801,50,0.75
22,789,50,0.95
22,798,75,0.05
22,818,75,0.1
22,789,75,0.5
22,789,75,0.75
22,789,75,0.95
22,801,85,0.05
22,801,85,0.1
22,789,85,0.5
22,797,85,0.75
22,789,85,0.95
22,789,95,0.05
22,789,95,0.1
22,789,95,0.5
22,797,95,0.75
22,789,95,0.95
22,801,100,0.05
22,789,100,0.1
22,789,100,0.5
22,785,100,0.75
22,789,100,0.95
