Quantidade Cidades,Resultado,Iterations,Evaporation
57,13374,50,0.05
57,13294,50,0.1
57,13364,50,0.5
57,13150,50,0.75
57,13150,50,0.95
57,13238,75,0.05
57,13361,75,0.1
57,13307,75,0.5
57,13305,75,0.75
57,13294,75,0.95
57,13175,85,0.05
57,13280,85,0.1
57,13332,85,0.5
57,13280,85,0.75
57,13178,85,0.95
57,13430,95,0.05
57,13294,95,0.1
57,13374,95,0.5
57,13368,95,0.75
57,13192,95,0.95
57,13294,100,0.05
57,13294,100,0.1
57,13150,100,0.5
57,13238,100,0.75
57,13280,100,0.95
