Quantidade Cidades,Resultado,Iterations,Evaporation
15,291,50,0.05
15,291,50,0.1
15,291,50,0.5
15,291,50,0.75
15,291,50,0.95
15,291,75,0.05
15,291,75,0.1
15,291,75,0.5
15,291,75,0.75
15,291,75,0.95
15,291,85,0.05
15,291,85,0.1
15,291,85,0.5
15,291,85,0.75
15,291,85,0.95
15,291,95,0.05
15,291,95,0.1
15,291,95,0.5
15,291,95,0.75
15,291,95,0.95
15,291,100,0.05
15,291,100,0.1
15,291,100,0.5
15,291,100,0.75
15,291,100,0.95
