Quantidade Cidades,Resultado,Iterations,Evaporation
59,1067,50,0.05
59,1076,50,0.1
59,1079,50,0.5
59,1080,50,0.75
59,1047,50,0.95
59,1068,75,0.05
59,1070,75,0.1
59,1089,75,0.5
59,1041,75,0.75
59,1031,75,0.95
59,1058,85,0.05
59,1070,85,0.1
59,1075,85,0.5
59,1059,85,0.75
59,1041,85,0.95
59,1092,95,0.05
59,1074,95,0.1
59,1059,95,0.5
59,1079,95,0.75
59,1054,95,0.95
59,1093,100,0.05
59,1076,100,0.1
59,1056,100,0.5
59,1062,100,0.75
59,1055,100,0.95
